,WRK,SEX,DEAR,DEYE,ACCESSINET,SCHL,SOC code,Occupational title,Average wage,Annual wage
0,1,1,2,2,1,23,111021,General and Operations Managers,64.76,134690.0
1,1,1,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
2,2,2,2,2,3,16,111021,General and Operations Managers,64.76,134690.0
3,1,2,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
4,1,1,2,2,1,22,111021,General and Operations Managers,64.76,134690.0
5,1,2,2,2,1,20,111021,General and Operations Managers,64.76,134690.0
6,1,1,2,2,1,16,111021,General and Operations Managers,64.76,134690.0
7,2,1,2,1,1,16,111021,General and Operations Managers,64.76,134690.0
8,1,1,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
9,1,1,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
10,1,1,2,2,1,16,111021,General and Operations Managers,64.76,134690.0
11,1,1,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
12,1,1,2,2,1,22,111021,General and Operations Managers,64.76,134690.0
13,1,1,2,2,1,19,111021,General and Operations Managers,64.76,134690.0
14,1,2,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
15,2,2,2,2,1,19,111021,General and Operations Managers,64.76,134690.0
16,1,1,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
17,1,2,2,1,1,16,111021,General and Operations Managers,64.76,134690.0
18,1,1,2,2,1,20,111021,General and Operations Managers,64.76,134690.0
19,1,2,2,2,1,16,111021,General and Operations Managers,64.76,134690.0
20,1,1,2,2,1,18,111021,General and Operations Managers,64.76,134690.0
21,1,1,2,2,1,22,111021,General and Operations Managers,64.76,134690.0
22,1,1,2,2,1,16,111021,General and Operations Managers,64.76,134690.0
23,2,2,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
24,1,1,2,2,1,18,111021,General and Operations Managers,64.76,134690.0
25,1,1,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
26,1,1,2,2,3,21,111021,General and Operations Managers,64.76,134690.0
27,1,2,2,2,1,20,111021,General and Operations Managers,64.76,134690.0
28,1,1,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
29,1,1,2,2,1,22,111021,General and Operations Managers,64.76,134690.0
30,1,1,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
31,1,2,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
32,1,2,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
33,1,1,2,2,1,19,111021,General and Operations Managers,64.76,134690.0
34,1,1,2,2,1,18,111021,General and Operations Managers,64.76,134690.0
35,1,1,2,2,1,15,111021,General and Operations Managers,64.76,134690.0
36,1,2,2,2,3,16,111021,General and Operations Managers,64.76,134690.0
37,2,1,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
38,1,1,1,2,1,19,111021,General and Operations Managers,64.76,134690.0
39,1,1,2,2,1,18,111021,General and Operations Managers,64.76,134690.0
40,1,1,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
41,1,2,2,2,1,22,111021,General and Operations Managers,64.76,134690.0
42,2,1,2,2,1,22,111021,General and Operations Managers,64.76,134690.0
43,1,2,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
44,2,1,2,2,1,24,111021,General and Operations Managers,64.76,134690.0
45,1,1,2,2,1,16,111021,General and Operations Managers,64.76,134690.0
46,1,2,2,2,1,19,111021,General and Operations Managers,64.76,134690.0
47,1,1,2,1,1,19,111021,General and Operations Managers,64.76,134690.0
48,2,1,1,2,3,16,111021,General and Operations Managers,64.76,134690.0
49,1,1,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
50,1,1,2,2,1,20,111021,General and Operations Managers,64.76,134690.0
51,1,1,2,2,1,19,111021,General and Operations Managers,64.76,134690.0
52,1,1,2,2,1,16,111021,General and Operations Managers,64.76,134690.0
53,1,1,2,2,1,22,111021,General and Operations Managers,64.76,134690.0
54,1,2,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
55,1,1,2,2,1,18,111021,General and Operations Managers,64.76,134690.0
56,1,1,2,2,1,22,111021,General and Operations Managers,64.76,134690.0
57,1,1,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
58,2,1,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
59,1,1,2,2,1,18,111021,General and Operations Managers,64.76,134690.0
60,1,2,2,2,3,17,111021,General and Operations Managers,64.76,134690.0
61,1,1,2,2,3,20,111021,General and Operations Managers,64.76,134690.0
62,2,1,1,2,1,19,111021,General and Operations Managers,64.76,134690.0
63,1,1,2,2,1,16,111021,General and Operations Managers,64.76,134690.0
64,1,2,2,2,1,19,111021,General and Operations Managers,64.76,134690.0
65,1,2,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
66,1,1,2,2,1,22,111021,General and Operations Managers,64.76,134690.0
67,1,1,2,2,1,20,111021,General and Operations Managers,64.76,134690.0
68,1,2,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
69,2,1,2,2,1,16,111021,General and Operations Managers,64.76,134690.0
70,1,1,2,2,1,20,111021,General and Operations Managers,64.76,134690.0
71,1,1,2,2,1,20,111021,General and Operations Managers,64.76,134690.0
72,1,1,2,2,1,16,111021,General and Operations Managers,64.76,134690.0
73,1,2,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
74,1,1,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
75,1,1,2,2,1,1,111021,General and Operations Managers,64.76,134690.0
76,1,2,2,2,1,19,111021,General and Operations Managers,64.76,134690.0
77,1,2,2,2,1,20,111021,General and Operations Managers,64.76,134690.0
78,2,1,2,2,1,21,111021,General and Operations Managers,64.76,134690.0
