ID,Year,Area code,Area name,SOC code,Occupational title,Employment,Average wage,25th Percentile,50th Percentile,75th Percentile,Annual wage
1,2022,53,Washington,11-1011,Chief Executives,2992.0,134.42,82.2,,,279590.0
2,2022,53,Washington,11-1021,General and Operations Managers,48024.0,64.76,40.08,57.43,78.74,134690.0
3,2022,53,Washington,11-1031,Legislators,1318.0,,,,,119380.0
4,2022,53,Washington,11-2011,Advertising and Promotions Managers,240.0,71.8,58.0,63.59,77.91,149340.0
5,2022,53,Washington,11-2021,Marketing Managers,6621.0,78.38,55.91,73.25,99.2,163040.0
6,2022,53,Washington,11-2022,Sales Managers,9261.0,77.62,57.76,74.32,99.93,161450.0
7,2022,53,Washington,11-2032,Public Relations Managers,1290.0,70.25,48.76,62.01,80.73,146120.0
8,2022,53,Washington,11-2033,Fundraising Managers,658.0,64.7,47.51,57.73,77.49,134570.0
9,2022,53,Washington,11-3012,Administrative Services Managers,1836.0,65.18,47.91,61.24,77.66,135580.0
10,2022,53,Washington,11-3013,Facilities Managers,1970.0,56.01,44.38,54.34,63.24,116490.0
11,2022,53,Washington,11-3021,Computer and Information Systems Managers,13722.0,85.64,63.64,79.09,99.97,178130.0
12,2022,53,Washington,11-3031,Financial Managers,11468.0,78.71,57.71,73.13,98.61,163720.0
13,2022,53,Washington,11-3051,Industrial Production Managers,,62.11,47.51,60.76,69.89,129180.0
14,2022,53,Washington,11-3061,Purchasing Managers,1877.0,70.92,59.87,63.28,78.66,147510.0
15,2022,53,Washington,11-3071,"Transportation, Storage, and Distribution Managers",2906.0,53.59,38.69,49.7,61.38,111470.0
16,2022,53,Washington,11-3111,Compensation and Benefits Managers,259.0,74.73,59.74,72.74,91.37,155440.0
17,2022,53,Washington,11-3121,Human Resources Managers,3702.0,72.9,56.8,66.65,81.09,151620.0
18,2022,53,Washington,11-3131,Training and Development Managers,620.0,66.08,48.19,61.02,78.23,137450.0
19,2022,53,Washington,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",101.0,37.36,24.31,33.56,39.23,77700.0
20,2022,53,Washington,11-9021,Construction Managers,10495.0,54.22,41.07,49.38,62.86,112770.0
21,2022,53,Washington,11-9031,"Education and Childcare Administrators, Preschool and Daycare",1372.0,27.3,22.52,26.44,29.34,56790.0
22,2022,53,Washington,11-9032,"Education Administrators, Kindergarten through Secondary",5431.0,,,,,131930.0
23,2022,53,Washington,11-9033,"Education Administrators, Postsecondary",2355.0,65.66,38.63,47.98,77.09,136570.0
24,2022,53,Washington,11-9039,"Education Administrators, All Other",927.0,41.25,23.41,36.98,53.38,85800.0
25,2022,53,Washington,11-9041,Architectural and Engineering Managers,4767.0,79.55,63.37,78.48,92.56,165470.0
26,2022,53,Washington,11-9051,Food Service Managers,2455.0,41.4,28.79,38.54,47.35,86100.0
27,2022,53,Washington,11-9071,Gambling Managers,129.0,43.88,33.14,38.41,48.11,91270.0
28,2022,53,Washington,11-9072,"Entertainment and Recreation Managers, Except Gambling",260.0,48.51,34.17,48.83,61.42,100900.0
29,2022,53,Washington,11-9081,Lodging Managers,1014.0,33.77,22.57,28.99,38.07,70240.0
